City_ID,City,Country,Latitude,Longitude,Max_Temp(F),Humidity(%),Cloudiness,Wind_Speed(MPH)
1,marawi,sd,18.4833,31.8167,85.35,17,7,12.8
2,butaritari,ki,3.0707,172.7902,82.09,83,68,20.54
3,balkanabat,tm,39.5108,54.3671,55,63,1,7.61
4,rikitea,pf,-23.1203,-134.9692,78.37,70,29,5.55
5,jamestown,sh,-15.9387,-5.7168,69.19,88,85,12.39
6,hilo,us,19.7297,-155.09,75.04,62,1,5.84
7,touros,br,-5.1989,-35.4608,89.6,59,81,13.62
8,hermanus,za,-34.4187,19.2345,75,60,25,4.76
9,sayansk,ru,54.1088,102.1648,26.94,94,88,12.93
10,baruun-urt,mn,46.6806,113.2792,13.41,91,0,8.57
11,nouadhibou,mr,20.931,-17.0347,71.6,58,0,9.53
12,chuy,uy,-33.6971,-53.4616,68.95,88,99,4.59
13,pangnirtung,ca,66.1451,-65.7125,21.36,73,0,2.91
14, homa  bay ,ke,-0.5273,34.4571,83.57,46,93,6.6
15,bluff,nz,-46.6,168.3333,60.26,92,100,12.12
16,luanda,ao,-8.8368,13.2343,82.54,67,81,11.21
17,longyearbyen,sj,78.2186,15.6401,8.6,77,70,7.14
18,ushuaia,ar,-54.8,-68.3,66.83,58,98,4.29
19,kaitangata,nz,-46.2817,169.8464,62.01,92,100,3.06
20,muzhi,ru,65.3667,64.6667,-12.93,89,100,18.3
21,albany,au,-35.0169,117.8917,76.1,48,25,8.46
22,severo-kurilsk,ru,50.6789,156.125,25.36,84,34,1.92
23,hermanus,za,-34.4187,19.2345,75,60,25,4.76
24,albany,au,-35.0169,117.8917,76.1,48,25,8.46
25,ushuaia,ar,-54.8,-68.3,66.83,58,98,4.29
26, presidencia  roque  saenz  pena ,ar,-26.7852,-60.4388,97.74,19,43,2.75
27, juan  lacaze ,uy,-34.4342,-57.4381,74.73,77,98,16.78
28,bilibino,ru,68.0546,166.4372,5.32,82,100,8.28
29,avarua,ck,-21.2078,-159.775,82.62,74,27,11.86
