City_ID,City,Country,Latitude,Longitude,Max_Temp(F),Humidity(%),Cloudiness,Wind_Speed(MPH)
1,souillac,mu,-20.5167,57.5167,84.36,63,20,13.06
2, norman  wells ,ca,65.282,-126.8329,-24.36,82,100,6.26
3,busselton,au,-33.65,115.3333,74.32,53,100,17.38
4,vaini,to,-21.2,-175.2,84.2,84,100,11.63
5,iqaluit,ca,63.7506,-68.5145,23,91,100,17.6
6,kumluca,tr,36.3703,30.2869,65.66,50,5,4.21
7,hermanus,za,-34.4187,19.2345,73.72,62,1,8.63
8,rikitea,pf,-23.1203,-134.9692,79.18,68,1,10.67
9,broome,au,-17.9667,122.2333,86,69,19,12.71
10,georgetown,sh,-7.9333,-14.4167,78.4,82,3,17.4
