City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
1, puerto  ayora ,100,ec,2021-02-04,79,-13.19,-100.61,73.62,12.28
2,jamestown,100,sh,2021-02-05,77,-51.6,-14.15,38.39,33.91
3,tuktoyaktuk,100,ca,2021-02-04,90,87.76,-127.51,-9.62,6.91
4, grand  gaube ,1,mu,2021-02-05,75,-18.1,60.8,81.23,16.31
5,bentiu,0,sd,2021-02-05,12,9.03,30.46,94.69,13.35
6,opochka,99,ru,2021-02-05,95,56.61,28.67,14.92,5.88
7,hobart,100,au,2021-02-05,94,-65.29,153.54,33.53,27.34
8,bluff,100,nz,2021-02-04,85,-88.25,154.08,-26.09,16.64
9,luderitz,6,na,2021-02-05,77,-30.69,3.26,71.96,4.99
10,kruisfontein,94,za,2021-02-05,89,-57.38,26.19,34.56,20.36
11,sangueya,3,gn,2021-02-05,55,10.42,-15.07,79.03,2.39
12,lebu,6,cl,2021-02-04,61,-30.47,-92.31,70.7,11.05
13,kaputa,10,zm,2021-02-05,75,-8.0,29.27,80.74,4.18
14, half  moon  bay ,100,us,2021-02-04,83,32.33,-132.2,60.06,28.45
15,ilulissat,100,gl,2021-02-04,89,86.0,-40.25,-13.77,8.12
16,illoqqortoormiut,97,gl,2021-02-05,89,85.88,-16.76,-11.13,9.53
17,ushuaia,28,ar,2021-02-04,96,-73.43,-45.24,23.16,15.1
18,rikitea,85,pf,2021-02-04,78,-20.05,-124.7,78.35,18.23
19,vaini,99,to,2021-02-05,96,-68.1,-179.88,31.91,24.16
20,fairbanks,70,us,2021-02-04,89,65.63,-147.42,-21.57,3.58
21,victoria,30,sc,2021-02-05,79,-6.84,63.26,82.02,19.13
22,kahului,100,us,2021-02-04,75,33.76,-151.13,64.76,41.94
23,opuwo,7,na,2021-02-05,17,-18.02,13.46,96.96,1.83
24,ancud,0,cl,2021-02-04,66,-39.83,-87.61,63.23,0.85
25,hobart,100,au,2021-02-05,97,-47.96,147.57,56.07,19.84
26,vaini,5,to,2021-02-04,88,-76.78,-169.97,24.06,9.06
27,albany,22,au,2021-02-04,82,-86.46,110.92,-31.18,11.14
28,mataura,95,pf,2021-02-04,92,-37.11,-156.82,72.75,23.42
29,saint-philippe,100,re,2021-02-05,95,-58.25,71.55,35.33,22.06
30,avera,92,pf,2021-02-04,90,-36.47,-157.26,73.47,23.76
31,bredasdorp,75,za,2021-02-05,88,-59.94,23.77,34.21,19.08
32,bonthe,100,sl,2021-02-05,74,6.76,-13.7,81.99,4.5
33,rikitea,29,pf,2021-02-04,67,-18.87,-139.73,80.46,7.99
34,karauzyak,100,uz,2021-02-05,60,43.79,61.47,52.25,9.64
35, belushya  guba ,93,ru,2021-02-05,92,82.51,47.53,-1.79,4.88
36,lompoc,0,us,2021-02-04,74,29.94,-125.41,58.98,14.43
37,farafangana,52,mg,2021-02-05,79,-24.16,50.99,81.81,15.55
38,nikolskoye,90,ru,2021-02-05,85,55.98,170.87,29.21,19.62
39, east  london ,100,za,2021-02-05,86,-50.22,41.72,41.16,29.93
40,xining,0,cn,2021-02-05,38,35.51,101.44,20.1,8.25
41,bluff,68,nz,2021-02-05,100,-71.68,170.59,2.77,6.51
42,rikitea,14,pf,2021-02-04,69,-22.58,-110.43,74.86,8.3
43,barentsburg,100,sj,2021-02-05,95,80.26,9.68,25.79,8.81
44,maceio,100,br,2021-02-05,77,-11.75,-32.84,79.83,14.05
45, san  cristobal ,98,ec,2021-02-04,72,-11.97,-90.03,73.92,11.3
46,jamestown,100,sh,2021-02-05,77,-17.52,-9.5,73.24,14.45
47,albany,1,au,2021-02-05,80,-75.79,95.72,-29.97,6.6
48,krasnovishersk,100,ru,2021-02-05,98,60.73,57.8,25.99,5.32
49,bethel,14,us,2021-02-04,73,47.16,-168.53,40.95,14.45
50,haibowan,0,cn,2021-02-05,57,41.55,104.79,44.4,23.71
51,avarua,100,ck,2021-02-04,80,-28.94,-159.12,80.22,14.36
52,upernavik,0,gl,2021-02-04,76,77.71,-55.82,-43.13,14.25
53, victoria  point ,52,au,2021-02-05,79,-26.2,158.88,76.84,22.26
54,kapaa,41,us,2021-02-04,67,19.39,-173.94,73.09,21.07
55, mount  gambier ,68,au,2021-02-05,74,-49.47,132.18,49.46,11.12
56,samusu,99,ws,2021-02-04,78,-13.35,-170.63,83.55,19.93
57, mar  del  plata ,100,ar,2021-02-05,91,-53.22,-41.62,41.7,28.3
58,kieta,100,pg,2021-02-05,72,-1.16,157.51,83.16,7.85
59,vaini,100,to,2021-02-04,96,-68.16,-174.01,31.8,22.75
60, haines  junction ,17,ca,2021-02-04,80,61.56,-139.71,11.26,1.66
61,attawapiskat,100,ca,2021-02-04,94,57.69,-88.77,1.69,18.23
62,manaure,62,co,2021-02-04,81,13.68,-73.62,80.22,17.74
63,emerald,100,au,2021-02-05,41,-24.31,145.05,94.71,17.22
64,yellowknife,100,ca,2021-02-04,83,69.5,-109.85,-26.36,9.46
65, clyde  river ,47,ca,2021-02-04,81,71.64,-80.31,-24.27,4.88
66, cape  town ,95,za,2021-02-05,96,-62.96,-12.85,31.82,15.3
67,hobart,100,au,2021-02-05,98,-53.44,152.35,49.12,15.12
68,eureka,0,us,2021-02-04,77,40.43,-133.61,52.43,14.52
69, hvide  sande ,100,dk,2021-02-05,95,55.97,7.79,30.36,27.56
70,galiwinku,95,au,2021-02-05,81,-8.58,135.15,83.1,24.83
71,sesheke,5,zm,2021-02-05,56,-16.62,24.57,85.64,6.71
72, puerto  ayora ,34,ec,2021-02-04,71,-12.61,-110.48,74.55,9.93
73,chernyshevskiy,92,ru,2021-02-05,85,62.7,110.23,-22.81,5.35
74, punta  arenas ,96,cl,2021-02-04,92,-65.29,-108.38,34.11,31.38
75,kapaa,97,us,2021-02-04,84,39.86,-168.53,51.1,6.42
76,esperance,87,au,2021-02-05,76,-35.28,126.5,63.23,22.06
77, cape  town ,100,za,2021-02-05,98,-58.86,-0.23,32.45,28.66
78,avarua,99,ck,2021-02-04,74,-23.94,-162.4,81.43,9.37
79,vaini,0,to,2021-02-04,77,-53.94,-167.74,49.75,21.09
80, arraial  do  cabo ,84,br,2021-02-05,65,-42.06,-26.97,62.19,14.16
81,jamestown,51,sh,2021-02-05,74,-24.45,-10.11,74.98,17.2
82, punta  arenas ,100,cl,2021-02-04,92,-79.23,-87.99,1.22,5.48
83,yellowknife,85,ca,2021-02-04,88,85.24,-106.88,-18.36,4.79
84, punta  arenas ,100,cl,2021-02-04,94,-77.2,-115.83,9.82,11.97
85,aykhal,0,ru,2021-02-05,80,66.78,110.67,-28.61,3.78
86,georgetown,99,sh,2021-02-05,79,-19.24,-21.1,76.6,13.82
87,rikitea,100,pf,2021-02-04,84,-54.22,-133.77,48.58,31.27
88,paamiut,60,gl,2021-02-04,87,60.65,-48.55,28.4,26.75
89,busselton,39,au,2021-02-05,83,-82.22,78.1,-28.57,9.42
90,kjollefjord,96,no,2021-02-05,98,70.45,27.54,17.82,2.84
91,upernavik,0,gl,2021-02-04,69,78.92,-50.07,-44.52,15.1
